Прізвище,Імя,По бат,Стать,Дата народження,Посада,Місто проживання,Адреса прож,Телефон,Email
Редько,Назар,Андрійович,Ч,03.01.1946,Кінорежисер,селище Ржищів,"площа Чорноморський 9-й, буд. 281, Старий Самбір, 41275",+380 05 290-29-94,baranykokseniia@example.org
Конопля,Аніта,Сергіївна,Ж,06.06.1989,М'ясник,хутір Галич,"парк Садова 1-ша, буд. 503, Берестин, 68156",158 24 98,ihnattiahnybok@example.net
Скирда,Софія,Степанівна,Ж,06.04.2001,Бухгалтер,хутір Ворожба,"узвіз Балтський 8-й, буд. 1 кв. 610, Шостка, 98444",+380 18 603 35 56,bbabiuk@example.net
Єрошенко,Святослава,Юріївна,Ж,12.07.1949,Громадський діяч,селище Борщів,"сквер Соляний 6-й, буд. 59, Кам'янка (Черкаська область), 48382",418-49-23,bohdannadzyndra@example.net
Лагода,Одарка,Дмитрівна,Ж,29.05.1968,Швачка,село Сквира,"узвіз Садова 6-та, буд. 01 кв. 418, Коломия, 01078",+380 75 824-20-00,dakhnoviacheslav@example.org
Дрозд,Георгій,Степанович,Ч,16.10.1959,Клоун,селище Яворів,"набережна Лавкова, буд. 824 кв. 676, Люботин, 27709",092 186 53 13,pavloizhak@example.net
Бабиченко,Гордій,Тарасович,Ч,25.09.1988,Програміст,місто Валки,"площа Степний 2-й, буд. 672 кв. 2, Нова Каховка, 42838",+380 65 430 82 41,darahanliubov@example.net
Вергун,Михайлина,Леонідівна,Ж,31.12.1988,Диригент,місто Оріхів,"проспект Чорноморського козацтва, буд. 37, Конотоп, 45298",+380 99 415-63-53,ielyseishyian@example.net
Андрощук,Августин,Ярославович,Ч,14.03.1964,Водій,хутір Дунаївці,"провулок Балтський 2-й, буд. 18, Ямпіль, 09633",755-47-45,kabaliukdaryna@example.net
Затула,Олена,Володимирівна,Ж,20.05.1968,Парфюмер,селище Кодима,"сквер Деревообробний 1-й, буд. 5, Євпаторія, 07913",082 624-38-41,vasylstelmakh@example.com
Приходько,Охрім,Валерійович,Ч,24.03.2004,Пілот,хутір Хрестівка,"набережна Слобідська, буд. 40 кв. 0, Бунге, 65763",134 50 59,vhres@example.net
Вернидуб,Тарас,Михайлович,Ч,02.01.1970,Мікробіолог,село Шостка,"сквер Різдвяна, буд. 855, Южне, 50756",587-76-72,banderasviatoslav@example.com
Тичина,Едита,Анатоліївна,Ж,24.04.1977,Продюсер,місто Олександрія,"провулок Крайня, буд. 93, Голубівка, 25237",+380 32 682-64-56,panteleimon03@example.org
Ґерета,Анастасія,Максимівна,Ж,04.09.1943,Намотувальник,місто Зборів,"шосе Крижанівський, буд. 002 кв. 26, Жашків, 47746",+380 69 760-48-84,davydaronets@example.org
Жученко,Євген,Степанович,Ч,07.08.1938,Епідеміолог,хутір Міусинськ,"провулок Аеропортівська, буд. 0, Луганськ, 39775",+380 16 483-83-69,qbashpolchenko@example.net
Ярема,Арсен,Леонідович,Ч,31.12.1955,Патологоанатом,хутір Теребовля,"сквер Рівності 1-й, буд. 669 кв. 32, Заліщики, 37979",088 669 30 05,tvyshniak@example.org
Тарасенко,Левко,Юрійович,Ч,04.07.1955,Слідчий,селище Лутугине,"провулок Суднобудівний, буд. 80, Мала Виска, 55830",010 789-23-69,ssimashkevych@example.org
Ребрик,Орися,Андріївна,Ж,05.01.2006,Графік,селище Белз,"набережна Танфільєва, буд. 967 кв. 11, Кропивницький, 90407",522 69 43,qvashchuk@example.org
Мірошниченко,Мілена,Тарасівна,Ж,22.03.1988,Єгер,селище П'ятихатки,"провулок Овідіопольська дуга, буд. 055, Долинська, 98363",088 869 18 70,iereskolarysa@example.com
Михалюк,Пантелеймон,Дмитрович,Ч,23.06.1987,Дантист,хутір Кодима,"провулок Цесевича, буд. 29 кв. 6, Старий Крим, 68666",+380 (14) 305-68-80,prokhir72@example.com
Лукаш,Надія,Степанівна,Ж,20.03.1945,Золотар,селище Суходільськ,"узвіз Шампанський, буд. 89, Липовець, 15041",021 08 04,fazhazha@example.com
Ільєнко,Єлисавета,Григорівна,Ж,23.07.1964,Фрілансер,хутір Старокостянтинів,"площа Кришталева, буд. 81 кв. 8, Гірник, 02978",+380 77 174 38 14,marianadzhun@example.org
Лавренко,Ярема,Романович,Ч,25.01.1948,Фермер,місто Тлумач,"проспект Проценка, буд. 9, Липовець, 08112",+380 (16) 760-71-98,klavdiia10@example.net
Кабаненко,Віолетта,Леонідівна,Ж,01.11.1971,Психолог,селище Винники,"площа Планетна, буд. 6 кв. 787, Златопіль, 36669",514 82 83,iaroslavduplii@example.com
Верхола,Роман,Андрійович,Ч,28.07.2003,Кур'єр,село Благовіщенське,"провулок Аеропортівський 3-й, буд. 24, Світловодськ, 60615",+380 40 310 48 05,oryna70@example.org
Хмара,Вʼячеслав,Васильович,Ч,30.05.1960,Паралегал,хутір Олександрівськ,"узвіз Ольгіївська, буд. 56 кв. 964, Берестин, 16970",000 895-91-09,illia11@example.com
Андрієнко,Орися,Степанівна,Ж,29.04.1945,Кінорежисер,хутір Решетилівка,"шосе Китобійний 1-й, буд. 34 кв. 034, Генічеськ, 01745",170-97-85,omelianonishchuk@example.net
Кабаненко,Оксенія,Тарасівна,Ж,11.02.1962,Архітектор,село Мар'їнка,"вулиця Планетна, буд. 03 кв. 318, Іршава, 01093",052-55-85,kybkaloazar@example.org
Рак,Миколай,Валерійович,Ч,25.08.2006,Епідеміолог,хутір Добропілля,"вулиця Дюківська, буд. 8 кв. 9, Сіверськ, 44795",051 033 64 82,zatovkaniukemiliia@example.net
Бабариченко,Варвара,Анатоліївна,Ж,27.08.1996,Паралегал,село Бровари,"вулиця Сумська, буд. 74, Отаманівка, 56723",004 927 01 06,khrystynaiakymenko@example.org
Рудько,Пармен,Дмитрович,Ч,09.04.1992,Агроном,хутір Устилуг,"сквер Чорноморський 8-й, буд. 43, Остер, 42214",092 517 87 27,mykytademianenko@example.org
Колесниченко,Богуслав,Ігорович,Ч,03.08.2008,Астроном,місто Буськ,"вулиця Володимира Антоновича, буд. 767 кв. 549, Валки, 15405",060 961-18-03,elemeshko@example.com
Жук,Остап,Вікторович,Ч,30.01.1940,Геолог,село Іршава,"сквер Мацієвської узвіз, буд. 46, Стебник, 17041",072 83 51,solomiiaiushchenko@example.org
Франчук,Варвара,Валеріївна,Ж,13.09.1946,Бізнесмен,хутір Балаклія,"шосе Мирна, буд. 30 кв. 981, Самар, 68472",851 92 39,vitaliihrechko@example.org
Бандера,Георгій,Степанович,Ч,25.07.1958,Дизайнер,хутір Миколаївка,"узвіз Успенський, буд. 1 кв. 9, Бар, 57669",035 907 37 91,ndankevych@example.com
Голобородько,Аніта,Михайлівна,Ж,20.12.2001,Астронавт,село Хирів,"площа Отонівський, буд. 39, Дубно, 66419",+380 (67) 009-60-41,ogzhytskyi@example.org
Гаєвська,Христина,Богданівна,Ж,25.06.1961,Географ,місто Дніпро,"набережна Китобійний 2-й, буд. 59, Рогатин, 09704",349-53-93,myronvernyhora@example.com
Єрмоленко,Аліна,Анатоліївна,Ж,27.07.1973,Композитор,селище Івано-Франківськ,"площа Офіцерська, буд. 0 кв. 60, Вугледар, 40211",+380 25 220-62-03,serhii77@example.com
Гайворонський,Орест,Юрійович,Ч,28.02.1969,Адвокат,хутір Бахмач,"вулиця Князя Ярослава Мудрого, буд. 93 кв. 8, Ладижин, 10710",+380 08 450 74 68,havryloshamrai@example.org
Чуприна,Антон,Анатолійович,Ч,20.02.1979,Кінокритик,хутір Бахмач,"вулиця Сабанський, буд. 246, Кам'янське, 43335",+380 (85) 681-78-82,kostiantyn36@example.com
Оробець,Олександр,Валерійович,Ч,28.12.1968,Медик,хутір Бар,"набережна Аркаса Миколи, буд. 7, Долинська, 61090",+380 08 461-82-28,omeliankorbut@example.com
Оберемко,Орися,Василівна,Ж,03.04.1941,Редактор,хутір Ізмаїл,"набережна Прибережний, буд. 2, Джанкой, 96587",+380 68 980-46-76,dderevianko@example.com
Ящук,Олекса,Петрович,Ч,30.05.2004,Фізик,селище Севастополь,"вулиця Картамишевська, буд. 23, Свалява, 70966",481 11 41,ykharchenko@example.net
Слюсар,Дарина,Максимівна,Ж,18.07.1969,Актор,село Чорнобиль,"площа Грушева, буд. 5, Тячів, 27025",+380 51 363-60-47,fedirpustovit@example.com
Захарченко,Петро,Андрійович,Ч,12.03.2001,Програміст,село Середина-Буда,"провулок Ключовий 1-й, буд. 47 кв. 5, Дебальцеве, 83033",083 476 60 88,avdieienkovladyslav@example.com
Зінченко,Онисим,Степанович,Ч,11.05.1947,Секретар,хутір Рожище,"провулок Залізнична, буд. 734, Ірпінь, 58309",+380 (61) 151-41-49,les44@example.net
Чумак,Ярослава,Андріївна,Ж,26.01.1975,Живописець,селище Отаманівка,"проспект 21-й км Старокиївської дороги, буд. 612, Великі Мости, 34745",072 338-90-56,mykolai84@example.org
Ґерус,Ярема,Петрович,Ч,24.05.1975,Дерун,село Мукачево,"шосе Віталія Блажка, буд. 048, Оріхів, 97759",012 742-63-04,sbevz@example.org
Піддубна,Богданна,Тарасівна,Ж,13.11.1966,Льотчик,місто Луцьк,"вулиця Оранжерейний, буд. 0 кв. 91, Угнів, 29268",053 908-74-83,mykhailyna16@example.com
Сімашкевич,Марта,Василівна,Ж,14.04.1938,Диригент,місто Гуляйполе,"сквер Виноградна, буд. 7 кв. 982, Підгородне, 30158",366 82 66,dnehoda@example.com
Бабʼюк,Лілія,Миколаївна,Ж,05.12.1975,Мірошник,місто Білгород-Дністровський,"вулиця Прибережний, буд. 69, Судак, 50537",064 646-75-96,myroslav45@example.org
Микитюк,Богуслав,Ігорович,Ч,16.10.1995,Етнограф,селище Овруч,"вулиця Промисловий, буд. 623 кв. 24, Камінь-Каширський, 02195",+380 41 248-75-30,zabaraihnat@example.org
Харченко,Надія,Валеріївна,Ж,05.12.1969,Електромонтер,село Моршин,"узвіз Аграрна, буд. 462, Лозова, 22648",+380 83 443 71 15,bohuslavaavdieienko@example.net
Чаленко,Еріка,Сергіївна,Ж,13.10.2002,Актор,місто Носівка,"проспект Валерія Самофалова, буд. 24 кв. 8, Сорокине, 34367",071 777-19-90,vkashchenko@example.net
Філіпенко,Руслан,Юрійович,Ч,08.04.1943,Художник,селище Стрий,"шосе Вернидуба, буд. 1, Охтирка, 12968",565 74 33,tkaras@example.org
Демиденко,Руслан,Володимирович,Ч,30.06.1985,Актор,місто Острог,"вулиця Слобідський узвіз, буд. 29, Ананьїв, 40572",+380 (65) 447-36-87,ivanychukoleksa@example.net
Худяк,Володимир,Віталійович,Ч,06.06.1978,Конструктор,селище Інкерман,"парк Тупиковий 2-й, буд. 277, Новоселиця, 87843",+380 78 612-11-08,hanna13@example.com
Ірванець,Захар,Дмитрович,Ч,07.12.1996,Електрик,хутір Ірміно,"провулок Святослава Ріхтера, буд. 934, Кропивницький, 38206",717-29-62,davramchuk@example.org
Яковенко,Едуард,Васильович,Ч,09.06.1976,Музикознавець,хутір Лохвиця,"сквер Амбулаторний, буд. 94 кв. 421, Красногорівка, 13061",747-31-79,ekhmara@example.com
Христич,Геннадій,Степанович,Ч,09.01.1993,Будник,місто Севастополь,"сквер Чернишевського, буд. 08 кв. 016, Монастирище, 93158",+380 54 859-03-94,skozak@example.net
Іваничук,Прохір,Віталійович,Ч,26.04.1955,Ді-джей,хутір Тиврів,"сквер Сергія Ейзенштейна, буд. 9 кв. 84, Благовіщенське, 29502",+380 01 752-43-71,piatachenkoarkadii@example.org
Шевченко,Варфоломій,Степанович,Ч,22.12.1995,Публіцист,село Приморськ,"сквер 5-та Лінія Марії Демченко, буд. 7 кв. 8, Апостолове, 31138",+380 (38) 466-84-29,hresorest@example.org
Рябець,Борис,Максимович,Ч,11.09.1983,Локсмайстер,село Нове Давидково,"площа Навігаційний, буд. 867, Рогатин, 04946",+380 44 489 59 80,haidamakaiefrem@example.org
Дацюк,Євген,Тарасович,Ч,24.10.1939,Гінеколог,село Армянськ,"набережна Евлії Челебі, буд. 95, Кіцмань, 04159",394-61-85,dankivzorian@example.net
Назаренко,Юстим,Петрович,Ч,03.12.1948,Прокурор,хутір Бахчисарай,"парк Райдужна, буд. 810 кв. 06, Миколаївка, 83213",+380 01 113-62-59,shchorsvasyl@example.org
Кармалюк,Остап,Григорович,Ч,22.05.1994,Стропальник,хутір Боярка,"площа Олександра Блока, буд. 9 кв. 39, Зимогір'я, 45842",027 45 45,kostiantynalekseienko@example.net
Затула,Захар,Степанович,Ч,07.02.1949,Педагог,хутір Горішні Плавні,"набережна Десантний, буд. 64 кв. 02, Моршин, 57129",+380 78 187-24-94,albina46@example.org
Фартушняк,Спас,Володимирович,Ч,31.01.1988,Прокурор,хутір Павлоград,"сквер Лінія 53-тя, буд. 80, Вишневе, 19205",+380 01 134 43 39,gvdovychenko@example.org
Макаренко,Мілена,Тарасівна,Ж,04.06.1968,Льотчик,селище Верхівцеве,"проспект Незалежності, буд. 3 кв. 62, Самар, 11283",033 762-16-35,rkashchenko@example.net
Ярема,Зиновій,Анатолійович,Ч,18.06.2004,Каскадер,хутір Дубляни,"шосе Республіканська, буд. 91 кв. 688, Бучач, 33483",127 50 04,mykhailyna16@example.net
Василашко,Теодор,Богданович,Ч,23.05.1949,Кінолог,село Звенигородка,"шосе Семафорний, буд. 60, Запоріжжя, 06919",078 467-66-50,nustenko@example.com
Гаврилець,Охрім,Тарасович,Ч,18.04.1944,Літературознавець,хутір Таврійськ,"провулок Пересипська 3-тя, буд. 164, Сокологірськ, 58853",+380 01 017-16-32,ivan95@example.org
Тимченко,Тимофій,Анатолійович,Ч,24.03.1970,Філолог,село Заліщики,"узвіз Деволанівська, буд. 912, Олевськ, 20724",+380 (04) 718-90-00,heorhii83@example.net
Єрьоменко,Мартин,Валерійович,Ч,29.12.1962,Кінокритик,місто Трускавець,"проспект Дюківський сад, буд. 568, Павлоград, 52459",288 93 64,tsymonenko@example.org
Алексійчук,Аніта,Іванівна,Ж,19.03.1939,Шериф,місто Вуглегірськ,"площа Небесної Сотні, буд. 775 кв. 457, Олександрівськ, 86011",054 625 20 71,hzhuk@example.com
Яценко,Амалія,Тарасівна,Ж,10.09.1991,Науковець,хутір Броди,"набережна Академіка Богатського, буд. 03, Борзна, 10653",+380 (92) 317-50-90,larysaakymenko@example.org
Павленко,Сергій,Сергійович,Ч,09.04.1978,Геофізик,місто Мала Виска,"проспект Лузанівка, буд. 0 кв. 462, Мар'їнка, 69528",+380 87 344-73-70,prykhodkozorian@example.net
Василевич,Аркадій,Віталійович,Ч,05.01.1998,Фотограф,селище Українськ,"вулиця Путівна, буд. 155, Бунге, 64247",+380 78 096-96-93,lpushkar@example.com
Данчук,Микита,Юрійович,Ч,10.02.1962,Візажист,хутір Козятин,"площа Цегляна, буд. 400, Олешки, 04758",+380 48 872-47-43,zubkovioletta@example.org
Швайка,Ярослава,Степанівна,Ж,23.07.1990,Маркетолог,селище Радехів,"провулок Луганська, буд. 194, Єнакієве, 21575",+380 92 699-82-80,fedirievtushenko@example.org
Фурс,Дмитро,Дмитрович,Ч,25.09.1954,Ботанік,село Шепетівка,"проспект Жасминна, буд. 48, Остер, 05003",+380 85 456-53-83,anton49@example.net
Влох,Ярослав,Віталійович,Ч,11.06.1956,Ґрунтознавець,село Рені,"парк Український 2-й, буд. 11, Бердичів, 49862",513-24-76,mykyta67@example.org
Дейнеко,Устим,Максимович,Ч,23.07.1966,Реставратор,місто Харків,"вулиця Шептицького, буд. 197 кв. 5, Борислав, 48441",+380 49 810-27-31,viratytarenko@example.org
Терещенко,Аврелій,Сергійович,Ч,23.07.1977,Водій,село Чуднів,"вулиця Лугова, буд. 48, Лозова, 29678",+380 (79) 950-14-56,nadiia46@example.org
Дутка,Вадим,Юрійович,Ч,05.10.1972,Композитор,селище Обухів,"сквер Святослава Ріхтера, буд. 6, Залізне, 18416",060 883-48-87,jderhach@example.org
Лесик,Тарас,Миколайович,Ч,29.07.1958,Дантист,село Гола Пристань,"парк Балтський 7-й, буд. 4 кв. 6, Деражня, 05853",+380 81 311 25 93,myronnazarenko@example.org
Вітрук,Зиновій,Валерійович,Ч,06.12.1989,Підприємець,місто Люботин,"вулиця Керченська, буд. 6 кв. 16, Глухів, 02231",+380 22 763-86-79,lestryhub@example.org
Байдак,Христина,Сергіївна,Ж,24.08.1978,Диригент,село Помічна,"парк Кременецький, буд. 87, Новомиргород, 92892",017 87 24,prytuladan@example.net
Годунок,Геннадій,Миколайович,Ч,13.03.1986,Промисловець,місто Миронівка,"шосе Менделе Сфоріма, буд. 2 кв. 182, Гнівань, 76963",390-40-38,eibozhenkooryna@example.com
Ільєнко,Мирослав,Петрович,Ч,29.05.1955,Психолог,хутір Радивилів,"парк Світлий, буд. 62, Алчевськ, 90549",+380 59 789-09-60,tokarmaryna@example.com
Левченко,Єва,Сергіївна,Ж,27.10.2005,Кушнір,селище Вовчанськ,"узвіз Бориса Літвака, буд. 29 кв. 2, Глухів, 80679",+380 26 865 83 03,iustymhavrylyshyna@example.org
Заруба,Сергій,Анатолійович,Ч,03.02.1977,Мірошник,хутір Кам'янка (Черкаська область),"вулиця Поштова, буд. 69, Глобине, 18205",239 98 46,nestorchumak@example.net
Удовиченко,Панас,Андрійович,Ч,15.03.1942,Географ,селище Інкерман,"набережна Лузанівський 1-й, буд. 23 кв. 5, Чорноморськ, 10341",+380 08 556 02 25,phuzii@example.org
Михайлюк,Анастасія,Володимирівна,Ж,24.09.2001,Бухгалтер,село Дубровиця,"проспект Супутників, буд. 439, Обухів, 95037",675 16 68,ztychyna@example.net
Вдовиченко,Франц,Петрович,Ч,07.02.2001,Паблік рилейшнз,село Радомишль,"сквер Лютнева, буд. 5 кв. 3, Бучач, 15328",+380 95 553 47 81,ielysei95@example.org
Дерегус,Кирило,Максимович,Ч,07.01.1972,Льотчик,місто Мирноград,"площа Віталія Гуляєва, буд. 33, Новоселиця, 59235",+380 12 512-86-54,wartymyshyn@example.com
Абрамчук,Левко,Сергійович,Ч,21.04.1979,Живописець,село Апостолове,"узвіз Деревообробний 1-й, буд. 859 кв. 97, Сновськ, 78440",+380 92 819-44-78,valerii32@example.org
Рубець,Христина,Анатоліївна,Ж,08.01.1977,Медик,хутір Мелітополь,"площа Вапняний 1-й, буд. 41, Рубіжне, 83226",+380 07 110-35-28,nazarieremenko@example.com
Гавришкевич,Орися,Дмитрівна,Ж,21.11.2004,Літературознавець,селище Новий Розділ,"набережна Іванова Ігоря, буд. 4 кв. 12, Дергачі, 98885",+380 69 638-16-44,anastasiiakylymnyk@example.org
Шинкаренко,Лариса,Богданівна,Ж,08.02.1965,Гірничий інженер,хутір Стебник,"провулок Восьмого березня 3-й, буд. 6 кв. 261, Долинська, 35197",+380 40 490-20-65,danchenkodanna@example.org
Ажажа,Іван,Іванович,Ч,07.01.2005,Реабілітолог,село Хуст,"сквер Поперечний, буд. 53 кв. 890, Золотоноша, 12801",+380 (71) 722-19-21,lizachekaliuk@example.org
Кальченко,Варфоломій,Богданович,Ч,30.01.1940,Ґрунтознавець,хутір Кипуче,"провулок Гранатний, буд. 7 кв. 142, Генічеськ, 31859",+380 65 049-19-60,hordii56@example.org
Корпанюк,Сергій,Петрович,Ч,31.01.1989,Фермер,селище Рахів,"набережна Аеропортівська, буд. 8 кв. 4, Бершадь, 93652",698 65 54,frankoiarema@example.net
Їжакевич,Ярина,Валеріївна,Ж,28.06.1957,Державний службовець,селище Ічня,"набережна Компасний, буд. 66, Джанкой, 58179",+380 (36) 169-02-79,varvaraokhrimenko@example.net
Артимович,Златослава,Павлівна,Ж,07.04.1996,Математик,селище Новомиргород,"узвіз Тираспольська, буд. 9 кв. 844, Лубни, 53757",174 90 03,pylyp54@example.com
Даньків,Стефан,Павлович,Ч,06.01.1948,Професор,місто Костопіль,"провулок Озерна, буд. 9 кв. 13, Волноваха, 02751",090 595-02-03,shynkarenkodemyd@example.net
Рудик,Артем,Миколайович,Ч,16.09.1971,Зоолог,місто Біляївка,"сквер Андрія Гулого-Гуленка, буд. 1 кв. 194, Монастириська, 74683",+380 58 071-10-91,omelian50@example.com
Дутка,Веніямин,Романович,Ч,09.09.1976,Драматург,місто Немирів,"вулиця Степна, буд. 5, Чуднів, 78127",+380 (46) 085-11-70,ustymhuk@example.net
Тесленко,Пантелеймон,Володимирович,Ч,16.10.1963,Агроном,хутір Люботин,"набережна Чернігівський, буд. 83, Джанкой, 34467",630-04-35,ruslan29@example.com
Павлик,Орест,Васильович,Ч,04.11.1951,Музичний редактор,місто Гірське,"шосе Гонсіоровського, буд. 667, Підгородне, 51882",051 349-03-43,shchyrytsiamartyn@example.net
Щириця,Алевтин,Тарасович,Ч,23.05.1959,Історик,хутір Городище,"узвіз 2-га Лінія 4-ї ст. Люстдорфської дороги, буд. 5 кв. 3, Умань, 04612",+380 (99) 029-83-08,piatachenkosviatoslava@example.com
Вітрук,Адам,Тарасович,Ч,10.07.1959,Маркетолог,хутір Рудки,"площа Лиманчик 2-й Лінія 11-та, буд. 30 кв. 63, Горішні Плавні, 25222",592-55-53,qnesterenko@example.com
Давимука,Софія,Валеріївна,Ж,07.01.1944,Водій,місто Кагарлик,"шосе Гоголя, буд. 401 кв. 7, Чуднів, 24172",927 35 02,dbaran@example.org
Вахній,Пантелеймон,Анатолійович,Ч,03.09.1984,Кур'єр,село Городок,"набережна Іспанська, буд. 53 кв. 6, Мирноград, 28730",912-50-36,mmiroshnychenko@example.org
Бандура,Демʼян,Романович,Ч,05.05.2008,Співак,хутір Білопілля,"набережна Прохоровський, буд. 23 кв. 3, Яремче, 09709",+380 (28) 073-64-92,iarema52@example.net
Зінкевич,Адам,Тарасович,Ч,18.09.2003,Мікробіолог,хутір Алупка,"сквер Північний, буд. 114 кв. 81, Куп'янськ, 31422",529 05 31,petrochubai@example.org
Дахно,Охрім,Анатолійович,Ч,01.07.1964,Лікар,село Помічна,"провулок 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 99 кв. 99, Баштанка, 66555",+380 19 991 93 35,redkoboleslav@example.org
Базилевський,Левко,Сергійович,Ч,29.10.1999,Гицель,селище Покров,"площа Спаський, буд. 337 кв. 424, Монастириська, 62953",867 66 10,hennadii31@example.net
