Прізвище,Імя,По бат,Стать,Дата народження,Посада,Місто проживання,Адреса прож,Телефон,Email
Дергач,Едуард,Васильович,Ч,04.06.2003,Модельєр,хутір Рахів,"шосе Хаджибейський 2-й, буд. 8 кв. 7, Люботин, 73731",010 421 54 21,sirobabaavrelii@example.net
Забіла,Мирон,Валерійович,Ч,19.08.1963,Біолог,селище Судова Вишня,"сквер Радіальна, буд. 41, Львів, 92260",+380 (16) 541-85-88,terezatkachenko@example.org
Василенко,Нестор,Миколайович,Ч,06.03.1939,Фізик,хутір Самар,"набережна Бісквітний, буд. 0 кв. 923, Миргород, 59699",642-40-30,ievachumak@example.net
Цушко,Веніямин,Іванович,Ч,29.03.1976,Клавішник,селище Лубни,"узвіз Юрія Олеші, буд. 037, Новгород-Сіверський, 13165",308 76 56,bieromenko@example.org
Саєнко,Гордій,Миколайович,Ч,21.12.2007,Фотограф,селище Глобине,"провулок Соляний 7-й, буд. 8, Красилів, 25392",+380 (84) 044-48-24,shavryshkevych@example.com
Канівець,Пантелеймон,Павлович,Ч,10.03.1950,Літературознавець,місто Андрушівка,"узвіз Добровольців, буд. 9, Немирів, 97097",079 015 09 21,ohaidabura@example.org
Шевченко,Едуард,Юрійович,Ч,11.12.1998,Фермер,село Бучач,"узвіз Локомотивний 4-й, буд. 458 кв. 5, Перечин, 61441",+380 27 581-61-63,anton70@example.net
Чумак,Варвара,Романівна,Ж,05.09.1999,Складальник,місто Горішні Плавні,"проспект Південна, буд. 854 кв. 79, Тальне, 60279",069 694-12-35,adakaras@example.com
Ткач,Віра,Петрівна,Ж,04.02.2001,Машиніст,село Бахчисарай,"проспект Олександра Станкова, буд. 143 кв. 5, Лохвиця, 88338",442 32 14,prykhodkoedyta@example.com
Асаула,Дмитро,Богданович,Ч,08.03.1960,Сценарист,село Каховка,"шосе Лінія 43-тя, буд. 77 кв. 584, Олександрівськ, 18668",046 362-58-45,azarhavrylets@example.org
Панчук,Амвросій,Юрійович,Ч,26.11.1991,Співак,хутір Бориспіль,"площа Ф. Пішеніна, буд. 45 кв. 01, Рудки, 65278",038 163-43-78,khudobiakiukhym@example.net
Ґалаґан,Анжела,Дмитрівна,Ж,23.12.1969,Петрограф,село Могилів-Подільський,"набережна Кам’янецький, буд. 50 кв. 324, Енергодар, 10105",089 859 87 42,lubenetszlatoslava@example.net
Опанасенко,Остап,Михайлович,Ч,30.05.1974,Редактор,село Харків,"узвіз Привозна, буд. 4 кв. 33, Петрово-Красносілля, 13973",032 988 10 71,havryshkevychanton@example.com
Щербак,Кирило,Степанович,Ч,10.07.1976,Науковець,селище Часів Яр,"сквер Полуничний, буд. 29, Мерефа, 75318",506-61-54,pkarmaliuk@example.net
Зубко,Демид,Леонідович,Ч,13.04.1939,Геолог,хутір Мелітополь,"шосе Аеродромний 3-й, буд. 60 кв. 6, Рубіжне, 60986",+380 13 004 68 53,hanna62@example.org
Петренко,Дан,Олександрович,Ч,13.01.1988,Фотограф,місто Ланівці,"узвіз Сергія Уточкіна, буд. 0, Новояворівськ, 54308",488 80 80,qkyrylenko@example.com
Ткач,Валентина,Ігорівна,Ж,18.01.1987,Лікар,село Золоте,"шосе Волова, буд. 11, Лисичанськ, 78576",087 341-12-47,klavdiiatsybulenko@example.org
Кармалюк,Костянтин,Романович,Ч,03.03.1974,Етнограф,село Герца,"провулок Степана Олійника узвіз, буд. 811 кв. 68, Решетилівка, 78945",014 932 90 69,astets@example.net
Деревʼянко,Розалія,Ігорівна,Ж,05.08.1970,Скульптор,село Голубівка,"проспект Керченський 1-й, буд. 80, Новоазовськ, 15382",207 65 96,viktordanchuk@example.org
Василевич,Богуслав,Тарасович,Ч,17.07.1988,Няня,селище Глобине,"парк Південна дорога, буд. 620, Верхівцеве, 85953",+380 14 672-40-05,mariia86@example.org
Запорожець,Ярема,Леонідович,Ч,11.10.1948,Адвокат,село Донецьк,"узвіз Пішонівська, буд. 17, Тульчин, 01575",060 174-39-48,vertyporokhviktor@example.net
Примаченко,Руслан,Володимирович,Ч,19.06.1974,Психолог,хутір Чернівці,"вулиця Гена Іоганна, буд. 66, Сторожинець, 48310",+380 (61) 025-64-61,upylypenko@example.net
Микитюк,Дарина,Василівна,Ж,12.06.1986,Реабілітолог,хутір Корець,"проспект Левадна, буд. 9 кв. 6, Канів, 46451",400 03 26,larysabaturynets@example.net
Єщенко,Ада,Богданівна,Ж,22.04.1946,Промисловець,місто Білгород-Дністровський,"вулиця Селищна, буд. 002 кв. 0, Апостолове, 29903",+380 (14) 384-95-41,ivan03@example.org
Ємельяненко,Клавдія,Романівна,Ж,03.01.1999,Фізик,село Краматорськ,"площа Спаський, буд. 770, Сокаль, 49820",761 05 42,htsymbal@example.com
Ґереґа,Миколай,Максимович,Ч,27.07.1953,Астрофізик,хутір Самбір,"провулок 19-й км Старокиївської дороги, буд. 203, Кам'янець-Подільський, 46588",029 517 29 80,iaremkodmytro@example.com
Чаленко,Панас,Віталійович,Ч,19.03.1971,Водій,хутір Хорол,"вулиця Старосінна, буд. 723 кв. 1, Переяслав, 92098",005 226 23 55,demian11@example.com
Адаменко,Тимофій,Степанович,Ч,08.05.1988,Громадський діяч,село Сколе,"сквер Кропивницького, буд. 88 кв. 585, Перечин, 34401",+380 (87) 793-52-64,alekseienkoherman@example.org
Цісик,Емілія,Олександрівна,Ж,29.01.1974,Головний меркшейдер,місто Мирноград,"проспект Ватманський, буд. 7 кв. 7, Вишневе, 30163",+380 80 281 12 36,artemvertyporokh@example.org
Ільченко,Василина,Леонідівна,Ж,11.04.1963,Круп'є,селище Сорокине,"сквер Олександра Кутузакія, буд. 8, Козятин, 76706",000 150-77-52,iefremmalyk@example.net
Батіг,Хома,Валерійович,Ч,29.07.1979,Юрист,хутір Добропілля,"провулок Удільний, буд. 44 кв. 1, Прилуки, 93803",208 60 64,gneporozhnii@example.com
Овсієнко,Віра,Іванівна,Ж,11.11.1982,Випробувач,село Балаклія,"парк Херсонський, буд. 683, Луганськ, 27445",143 84 52,anzhela14@example.com
Шаповал,Тимофій,Вікторович,Ч,24.04.1941,Кінолог,хутір Бережани,"вулиця Басейна, буд. 763 кв. 142, Кам'янка-Дніпровська, 59327",+380 (97) 931-46-71,khomenkodaryna@example.net
Медведенко,Назар,Ярославович,Ч,30.10.1951,Кушнір,селище Феодосія,"шосе тупик Хвиля, буд. 336 кв. 9, Зугрес, 57577",000 321 68 04,fkybkalo@example.org
Малишко,Олена,Богданівна,Ж,16.09.1962,Хімік,хутір Святогірськ,"провулок Азербайджан, буд. 16, Снятин, 36537",086 685-21-33,feofan28@example.org
Микитюк,Альбіна,Сергіївна,Ж,28.03.1963,Драматург,хутір Марганець,"вулиця Скляна, буд. 10 кв. 2, Горохів, 05694",+380 41 525 09 03,babiaksviatoslav@example.org
Рудик,Венедикт,Васильович,Ч,08.09.1949,Астрофізик,хутір Березне,"узвіз Дружний, буд. 558 кв. 781, Копичинці, 75962",435 66 18,viktor95@example.org
Іванченко,Павло,Григорович,Ч,09.07.1972,Державний службовець,село Дергачі,"площа Сергія Коновалова, буд. 14 кв. 544, Стрий, 55148",093 479-76-01,havryloorlyk@example.org
Швайка,Володимира,Володимирівна,Ж,16.07.1993,Підприємець,місто Ходорів,"сквер Новоберегова, буд. 92, Вовчанськ, 07294",130 18 11,riabchenkoodarka@example.net
Макаренко,Богуслав,Григорович,Ч,20.12.1999,Фольклорист,хутір Мена,"провулок Картамишевський, буд. 7, Кролевець, 87774",031 615-96-31,apiatachenko@example.net
Теліженко,Віталій,Володимирович,Ч,14.06.2005,Локсмайстер,село Гадяч,"вулиця Прилуцький, буд. 26 кв. 890, Верхівцеве, 14689",+380 74 468 79 09,iaroslavnosenko@example.org
Ґереґа,Єлисавета,Петрівна,Ж,03.12.2004,Фотограф,хутір Яготин,"провулок Південна дорога, буд. 300 кв. 6, Щолкіне, 27527",+380 93 101 75 71,viktor20@example.org
Джунь,Надія,Ярославівна,Ж,26.04.1985,Дипломат,місто Мирноград,"сквер Буковинська, буд. 6 кв. 749, Косів, 68832",+380 62 675 54 50,martyn19@example.net
Ґерета,Оксана,Юріївна,Ж,12.08.1964,Біолог,село Південне,"площа Гвоздична, буд. 931, Севастополь, 30833",536-10-36,ytryhub@example.org
Кармалюк,Мілена,Сергіївна,Ж,21.05.1969,Патологоанатом,селище Довжанськ,"вулиця Єврейська, буд. 4, Зугрес, 02771",+380 (50) 555-10-53,ievhenverhun@example.org
Оніщук,Ірина,Юріївна,Ж,01.03.1973,Кушнір,селище Кам'янське,"провулок Тепличний 2-й, буд. 50, Карлівка, 23093",023 280-62-10,tbazavluchenko@example.org
Полтавець,Наталія,Ігорівна,Ж,17.08.1981,Підприємець,селище Лисичанськ,"вулиця Миколи Костомарова, буд. 5 кв. 70, Новогродівка, 01517",687 46 41,olha21@example.org
Левченко,Іван,Васильович,Ч,27.09.1975,Паблік рилейшнз,хутір Бахмач,"площа Марка Крейна, буд. 022 кв. 3, Трускавець, 77161",+380 94 646-03-84,androshchukpavlo@example.net
Базавлученко,Феофан,Валерійович,Ч,08.01.1941,Детектив,село Сіверськ,"площа Шевальових, буд. 35 кв. 55, Ізюм, 94200",+380 08 113-98-69,hennadii39@example.org
Ребрик,Галина,Вікторівна,Ж,16.06.1995,Кухар,місто Чорнобиль,"узвіз 18-та Лінія 6-й ст. Люстдорфської дороги, буд. 20, Радомишль, 35985",009 764-72-14,daleksiuk@example.net
Приймак,Соломон,Миколайович,Ч,26.09.1975,Правник,селище Городня,"проспект Василя Симоненка, буд. 01, Докучаєвськ, 55350",904 87 90,tpetrenko@example.net
Проценко,Арсен,Павлович,Ч,03.10.2004,Фермер,село Новий Розділ,"провулок Бугаївська, буд. 8 кв. 3, Галич, 73131",+380 26 718-10-35,fastenkoopanas@example.com
Оліфіренко,Роксолана,Сергіївна,Ж,02.10.1968,Няня,селище Кременець,"площа Бодаревського, буд. 03, Нова Одеса, 71885",022 094 92 64,mzhaivoron@example.org
Зінченко,Борислав,Анатолійович,Ч,21.11.2002,Співак,хутір Болехів,"парк Хаджибейський 3-й, буд. 2, Бунге, 74770",+380 (97) 451-18-57,zbabak@example.com
Гресь,Ярослав,Дмитрович,Ч,27.11.1960,Електромонтажник,хутір Світловодськ,"вулиця Біляївська, буд. 3, Коростишів, 89751",048 941 02 60,xshukhevych@example.org
Демʼяненко,Лілія,Павлівна,Ж,30.06.1965,Бізнесмен,селище Берестечко,"узвіз Дачний, буд. 944, Добромиль, 60873",+380 57 454 52 10,qnalyvaiko@example.net
Євтушенко,Ілля,Григорович,Ч,25.04.1985,Гірничий інженер,місто Київ,"узвіз Мостовий, буд. 77, Новоселиця, 81343",+380 93 337 65 36,csirobaba@example.net
Байда,Антон,Степанович,Ч,01.02.1971,Електромонтажник,село Харків,"узвіз Водопровідний 1-й, буд. 5 кв. 911, Торецьк, 62407",070 238 84 59,trokhym01@example.com
Адаменко,Зорян,Васильович,Ч,16.06.1959,Педагог,село Малин,"сквер Нечипуренка, буд. 4 кв. 6, Коломия, 48647",+380 34 529 24 64,ihnatdzhun@example.com
Філіпенко,Аврелій,Олександрович,Ч,15.09.1965,Перекладач,хутір Пустомити,"узвіз Якірний, буд. 7, Чоп, 91605",192-35-16,stefan03@example.org
Дашенко,Тарас,Валерійович,Ч,15.07.1991,Етнограф,місто Сокологірськ,"провулок Житомирський 3-й, буд. 50, Старокостянтинів, 91768",+380 20 357-64-75,symonenkozlatoslava@example.com
Василечко,Розалія,Тарасівна,Ж,19.08.2008,Психолог,хутір Кам'янка-Бузька,"провулок Дев’ята, буд. 984 кв. 1, Моспине, 02111",+380 67 693 92 27,erikastus@example.org
Примаченко,Варвара,Ігорівна,Ж,24.10.1950,Модельєр,село Бахмут,"провулок 2-й Академічний тупик, буд. 25, Чернівці, 14323",314-50-13,herman03@example.com
Матяш,Венедикт,Степанович,Ч,29.08.1938,Клавішник,хутір Комарно,"вулиця Кар’єрна, буд. 607 кв. 14, Христинівка, 76213",+380 13 924 44 75,danylofranko@example.net
Павлик,Миколай,Іванович,Ч,13.03.1951,Намотувальник,селище Кропивницький,"площа Олени Теліги, буд. 9, Хирів, 38837",+380 34 287-20-03,oryna25@example.org
Сацюк,Тарас,Павлович,Ч,16.02.1997,Літературознавець,хутір Хуст,"шосе Докова, буд. 55, Чоп, 92609",+380 26 396-83-12,batiukielysaveta@example.org
Рева,Єва,Іванівна,Ж,01.01.2001,Футболіст,село Шептицький,"площа Івасюка Володимира, буд. 526 кв. 3, Миронівка, 12656",+380 39 880 15 99,pavlo94@example.com
Оберемко,Гаврило,Юрійович,Ч,11.09.2005,Співак,місто Яремче,"площа Одарія, буд. 404, Бобринець, 58708",+380 36 071-38-22,vakarchukamaliia@example.net
Ткач,Єлисавета,Максимівна,Ж,24.09.1965,Клавішник,село Чуднів,"сквер Студентський 2-й, буд. 698 кв. 67, Любомль, 12056",354-29-66,kolesnychenkohennadii@example.net
Даниленко,Святослава,Степанівна,Ж,02.04.1982,Машиніст,селище Могилів-Подільський,"провулок Педагогічний, буд. 3, Богуслав, 21925",780 77 63,bhaidabura@example.org
Атрощенко,Ростислав,Богданович,Ч,12.02.1968,Футболіст,місто Миронівка,"шосе Пастера, буд. 5, Старий Самбір, 74970",115-75-06,vshelest@example.org
Шамрай,Володимир,Дмитрович,Ч,02.08.1992,Фрілансер,хутір Рахів,"вулиця Маловського, буд. 1, Сміла, 85543",360-43-96,veniiamyndankevych@example.com
Остапчук,Єлисей,Володимирович,Ч,27.12.1987,Електромонтер,місто Чигирин,"проспект Ромашкова, буд. 9 кв. 69, Вільногірськ, 82185",529-19-97,zarubaorysia@example.com
Воблий,Святослав,Павлович,Ч,09.12.1955,Єгер,місто Василівка,"узвіз Майстерний, буд. 993 кв. 90, Кролевець, 98980",+380 65 361-52-22,danyloudovychenko@example.net
Вакарчук,Григорій,Михайлович,Ч,12.04.2000,Диригент,місто Чигирин,"площа Осипова, буд. 8 кв. 684, Олевськ, 73863",736-45-88,olesshablii@example.com
Колісниченко,Федір,Михайлович,Ч,17.11.1976,Педагог,село Міусинськ,"проспект Манежна, буд. 35 кв. 456, Щастя, 87187",+380 84 159 82 42,olha27@example.com
Андрійович,Іван,Богданович,Ч,21.01.1963,Продюсер,село Новояворівськ,"провулок Прорізна, буд. 7, Шаргород, 44657",009 658-30-61,iurchenkooryna@example.com
Титаренко,Амвросій,Максимович,Ч,05.03.1946,Ботанік,селище Ладижин,"сквер Церковна, буд. 4 кв. 08, Гадяч, 48230",521-30-65,makarkabanenko@example.com
Бгиденко,Анжела,Сергіївна,Ж,03.04.1958,Дерун,хутір Перещепине,"шосе Цимлянська, буд. 11 кв. 637, Гайсин, 76020",490 62 91,khoma85@example.org
Щорс,Едита,Максимівна,Ж,27.06.1966,Няня,селище Армянськ,"сквер Соні Делоне, буд. 5, Тальне, 07897",074 254 30 49,lesykmariia@example.org
Полтавець,Устим,Валерійович,Ч,14.09.1966,Астрофізик,селище Кіцмань,"проспект Мелодійний, буд. 131, Ірпінь, 08620",008 144 05 25,sprotsenko@example.org
Хоменко,Володимира,Юріївна,Ж,06.02.1988,Паблік рилейшнз,селище Глобине,"шосе Тополина, буд. 23 кв. 9, Збараж, 42790",583 06 13,zorian80@example.com
Ґоляш,Андрій,Анатолійович,Ч,29.08.1980,Випробувач,хутір Гребінка,"сквер Водопровідний 2-й, буд. 13 кв. 88, Чугуїв, 85514",+380 12 704-28-85,yiefymenko@example.net
Оніщук,Галина,Анатоліївна,Ж,15.05.1943,Диригент,селище Тростянець,"проспект Путівна, буд. 796 кв. 23, Керч, 31735",033 459-57-43,ctkachenko@example.net
Височан,Ярослав,Романович,Ч,09.09.1988,Бібліотекар,місто Докучаєвськ,"площа Петра Болбочана, буд. 135, Волноваха, 63006",786-60-15,liliia05@example.net
Дробаха,Наталія,Вікторівна,Ж,12.07.1958,Менеджер,село Малин,"провулок Міцкевича, буд. 6, Трускавець, 25364",838 83 50,lupiisemen@example.net
Шведченко,Олена,Григорівна,Ж,04.03.1970,Льотчик,село Новомиргород,"сквер Тюльпанний, буд. 65 кв. 378, Березне, 49398",001 487-67-42,ishchakdemian@example.com
Вишиваний,Орест,Віталійович,Ч,24.02.1945,Науковець,місто Шепетівка,"узвіз Шкільний, буд. 900 кв. 390, Рудки, 17722",994 03 59,fhaidabura@example.com
Ящук,Орися,Юріївна,Ж,05.02.1976,Клавішник,селище Сторожинець,"проспект Балтський 7-й, буд. 8, Ірпінь, 22424",053 130 30 01,ieroshenkoleopold@example.com
Шаблій,Августин,Петрович,Ч,01.10.1938,Лікар,місто Тараща,"узвіз 18-та Лінія 6-й ст. Люстдорфської дороги, буд. 01 кв. 163, Сіверськ, 79335",+380 28 807-68-65,khomaartymyshyna@example.net
Скоробогатько,Йосип,Сергійович,Ч,17.02.1957,Епідеміолог,місто Селидове,"набережна Травневий 5-й, буд. 5, Новоград-Волинський, 05206",904-34-00,shvedchenkoivan@example.org
Василашко,Галина,Тарасівна,Ж,29.05.1953,Ріелтор,місто Яремче,"шосе Європейська, буд. 60, Решетилівка, 63736",058 782 74 21,anton61@example.org
Лавренко,Наталія,Анатоліївна,Ж,11.11.1943,Програміст,хутір Роздільна,"парк Одеський, буд. 107, Тетіїв, 29585",+380 87 411-01-75,vanchenkoliza@example.net
Романенко,Гліб,Володимирович,Ч,09.09.1970,Живописець,село Антрацит,"вулиця Естонська, буд. 952 кв. 147, Каховка, 83771",+380 86 833-93-93,olha02@example.net
Жарко,Борис,Іванович,Ч,12.11.1957,Кінорежисер,хутір Донецьк,"парк Офіцерський 2-й, буд. 206, П'ятихатки, 03798",+380 65 505 41 06,liza82@example.net
Шило,Дарина,Павлівна,Ж,07.11.1948,Нотаріус,хутір Яготин,"вулиця Проектний 5-й, буд. 60 кв. 76, Гайворон, 36796",+380 09 432-45-88,pylypfastenko@example.net
Батіг,Тимофій,Віталійович,Ч,15.07.1959,Фотограф,селище Сокиряни,"шосе Морська, буд. 014, Шахтарське, 31160",930 44 00,eruban@example.com
Фастенко,Теодор,Богданович,Ч,20.04.1973,Електромонтажник,село Носівка,"парк Мирослава Скорика, буд. 31, Кобеляки, 87797",+380 08 392 91 81,ahunko@example.net
Євтушенко,Амалія,Павлівна,Ж,06.05.1964,Ботанік,хутір Стрий,"провулок Каштанова, буд. 91 кв. 9, Турка, 69045",099 751-49-19,pavlychenkoopanas@example.com
Зінчук,Златослава,Миколаївна,Ж,08.12.1965,Фольклорист,село Боярка,"вулиця Новощіпний ряд, буд. 67 кв. 500, Курахове, 08097",932-33-09,liubovshvedchenko@example.com
Баранець,Олена,Вікторівна,Ж,08.05.1948,Електрик,село Радомишль,"узвіз Івана Микитенка, буд. 0, Ржищів, 65851",054 339-59-44,fveres@example.org
Андрощук,Наталія,Анатоліївна,Ж,29.07.1971,Круп'є,село Шумськ,"парк Новоукраїнський, буд. 4 кв. 293, Новий Калинів, 81136",079 122-51-41,andriizaiets@example.com
Даниленко,Августин,Віталійович,Ч,14.12.1939,Електрослюсар,село Судова Вишня,"проспект Юннатів 1-й, буд. 843 кв. 5, Одеса, 20358",041 133 19 01,rubetsdemyd@example.com
Шморгун,Теодор,Романович,Ч,09.09.1947,Клоун,село Шумськ,"вулиця Андрія Гулого-Гуленка, буд. 00, Бучач, 01307",092 818-57-14,iarynaaleksiuk@example.net
Рудько,Григорій,Петрович,Ч,27.06.1944,Географ,село Тячів,"сквер Майка Йогансена, буд. 736, Заводське, 28455",+380 07 024-15-17,fzatula@example.net
Гайдамака,Гордій,Олександрович,Ч,20.03.1958,Фізик,хутір Могилів-Подільський,"набережна Сімферопольська, буд. 1, Марганець, 85554",+380 66 047 58 47,uzakusylo@example.com
Петрик,Олена,Андріївна,Ж,09.06.1939,Круп'є,село Буськ,"провулок Флотський 1-й, буд. 856 кв. 4, Герца, 28034",033 915-09-60,balabanandrii@example.org
Гунько,Сергій,Михайлович,Ч,05.06.1981,Фізик,село Славутич,"узвіз Чорноморський 3-й, буд. 16 кв. 635, Селидове, 72116",241 57 95,ebatiuk@example.org
Їжак,Богуслава,Ярославівна,Ж,27.01.1950,Гірник,село Судак,"узвіз Майка Йогансена, буд. 224 кв. 889, Шептицький, 64776",+380 57 823-20-09,bazylevychdavyd@example.com
Базавлученко,Орхип,Максимович,Ч,25.12.1960,Клоун,селище Чернігів,"площа Василя Кандинського 5-й, буд. 48, Баштанка, 69264",834-42-40,aiaremenko@example.org
Забашта,Ада,Сергіївна,Ж,06.05.1982,Промисловець,селище Вугледар,"парк Сашка Хорошенка, буд. 65 кв. 81, Судова Вишня, 98084",602 43 70,oksanaiaremkiv@example.net
Чміль,Георгій,Михайлович,Ч,12.12.2000,Режисер,хутір Рахів,"набережна Квантовий, буд. 30, Попасна, 37102",+380 69 918-13-12,uvyshyvana@example.com
Фаренюк,Петро,Віталійович,Ч,02.02.1990,Швачка,хутір Жидачів,"парк Венгера, буд. 98 кв. 2, Вилкове, 49649",098 850-70-79,azar20@example.org
Батюк,Спас,Володимирович,Ч,07.08.1948,Географ,хутір Богодухів,"проспект Маразліївська, буд. 7 кв. 606, Галич, 23422",+380 44 639-94-17,iefrem52@example.com
Тягнибок,Гордій,Тарасович,Ч,08.09.1983,Стиліст,місто Ровеньки,"площа Аркадіївський, буд. 15, Слов'янськ, 84642",+380 31 017 86 86,romanetspanas@example.org
Рудик,Клавдія,Юріївна,Ж,06.07.1948,Живописець,хутір Покров,"проспект 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 000, Лисичанськ, 10516",+380 02 633-54-44,iefremcherinko@example.net
Дахно,Єлисавета,Юріївна,Ж,14.03.1975,Каскадер,місто Ладижин,"площа Дур'янівський, буд. 490, Горішні Плавні, 29659",+380 52 700 80 53,thodunok@example.com
Штепа,Юстина,Юріївна,Ж,19.09.1981,Програміст,село Підгайці,"сквер Молокова, буд. 17, Синельникове, 37413",+380 23 141-89-17,ielysaveta05@example.com
Тесля,Ганна,Віталіївна,Ж,21.11.1991,Гірник,хутір Свалява,"шосе Цементний, буд. 3, Гола Пристань, 34860",+380 (42) 577-93-29,trokhym76@example.com
Заруба,Данило,Володимирович,Ч,03.01.1998,Паблік рилейшнз,селище Старий Крим,"шосе Миколи Огренича, буд. 127, Калуш, 42585",028 139 75 50,ihnatfartushniak@example.org
Тесленко,Камілла,Юріївна,Ж,26.04.1981,Гицель,селище Ізяслав,"провулок Демократична, буд. 40, Хутір-Михайлівський, 50600",+380 28 289-34-09,edyta43@example.org
Засуха,Наталія,Василівна,Ж,14.05.1972,Фотограф,хутір Залізне,"шосе Кругова, буд. 3 кв. 0, Привілля, 94554",+380 (31) 225-05-15,qzasenko@example.com
Андрощук,Святослава,Юріївна,Ж,31.03.1957,Соціолог,селище Сквира,"шосе Донорська, буд. 40, Радомишль, 56052",+380 43 811-74-48,suprunenkosviatoslava@example.org
Василашко,Владислав,Миколайович,Ч,16.10.1954,Музичний редактор,село Сіверськодонецьк,"шосе Пересипська 6-та, буд. 49, Угнів, 18997",+380 38 816-33-31,leontiibabiichuk@example.com
Зайченко,Борис,Петрович,Ч,27.07.1981,Фольклорист,хутір Золоте,"парк Хімічна, буд. 42, Березівка, 93831",043 837-10-75,konopliasvitlana@example.com
Бабак,Ігнат,Юрійович,Ч,11.06.1982,Мірошник,хутір Жашків,"проспект Чорноморський 5-й, буд. 57, Гадяч, 01387",434 19 31,stepan24@example.org
Скирда,Ірена,Віталіївна,Ж,18.10.1984,Різноробочий,селище Христинівка,"шосе Розкидайлівська, буд. 95 кв. 963, Горішні Плавні, 30702",054 834 95 81,priska89@example.org
Яременко,Амалія,Ярославівна,Ж,01.08.1961,Мікробіолог,місто Ясинувата,"вулиця Крижанівський, буд. 47, Златопіль, 10777",+380 75 464 26 71,rakdavyd@example.com
Канівець,Станіслав,Миколайович,Ч,28.04.1944,Редактор,хутір Перемишляни,"вулиця Восьмого Березня Лінія 1-ша, буд. 38 кв. 152, Отаманівка, 47007",+380 56 901-20-02,utsiupa@example.com
Рак,Соломія,Максимівна,Ж,17.03.1983,Ювелір,місто Вознесенськ,"парк Красний, буд. 86, Дергачі, 89374",198 16 38,apustovit@example.net
Мірошниченко,Степан,Ярославович,Ч,09.01.2003,Мінералог,місто Могилів-Подільський,"узвіз Лінія 54-та, буд. 56, Бахчисарай, 13594",086 316 87 33,skorobohatkooleksa@example.net
Ажажа,Єлисей,Валерійович,Ч,05.01.1943,Кінорежисер,селище Южноукраїнськ,"набережна Килимовий, буд. 46, Острог, 72201",099 931-45-83,dieresko@example.org
Базавлученко,Адам,Вікторович,Ч,11.11.1947,Кухар,хутір Зіньків,"площа 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 37, Макіївка, 44715",+380 40 597 17 00,venedyktmazepa@example.com
Дзюба,Едуард,Романович,Ч,12.10.1971,Адвокат,хутір Ананьїв,"шосе Свободи, буд. 0 кв. 208, Городище, 36566",146-90-18,korbutarsen@example.com
Андрійчук,Варвара,Ярославівна,Ж,10.02.1940,Футболіст,хутір Золочів,"проспект Остапа Вишні, буд. 134 кв. 2, Сокологірськ, 87221",+380 13 285-96-49,hlibshvaika@example.net
